year,weekly_nominal_earnings,major_group,series_id,ai_exposure_mean,ai_exposure_median,n_soc_occupations,wage_growth_yoy,cum_growth_since_start,avg_wage_growth_yoy
2025,1645,"Management, professional, and related occupations",LEU0254524600A,0.7576190207715133,0.9339648,337,0.0398230088495574,1.0308641975308643,0.028800257783171745
2025,1101,"Natural resources, construction, and maintenance occupations",LEU0254557400A,-1.1162414570247934,-1.145156,121,0.0566218809980805,0.8917525773195876,0.02597174892685147
2025,924,"Production, transportation, and material moving occupations",LEU0254566200A,-0.8005284264900662,-0.8684706,151,0.0370370370370369,0.9452631578947368,0.027099282680940587
2025,1010,Sales and office occupations,LEU0254550200A,0.6428118246575343,0.9888986,73,0.0477178423236515,1.0528455284552845,0.029308850746024028
2025,790,Service occupations,LEU0254543400A,-0.5032377152173914,-0.53769735,92,0.04221635883905,1.1643835616438358,0.03159885472204509
